HANNOVERMESSE 2026 - Exhibitors
Hit type;Exhibitor;Country;Zip Code;City;Federal State;CCI District;Company website;Booth;Exhibitor presentation
Exhibitor;Hannover Milano Fairs Shanghai Ltd.;China;201204;Shanghai;;;https://www.hmf-china.com;"Hall 23, Stand B74";https://www.hannovermesse.de/exhibitor/hannover-milano-fairs-shanghai/N1476480;
Exhibitor;Hannover Milano Fairs Shanghai Ltd.;China;201204;Shanghai;;;https://www.hmf-china.com;"Hall 13, Stand F12";https://www.hannovermesse.de/exhibitor/hannover-milano-fairs-shanghai/N1605448;
Exhibitor;Hannover Milano Fairs Shanghai Ltd.;China;201204;Shanghai;;;https://www.hmf-china.com;"Hall 26, Stand C10";https://www.hannovermesse.de/exhibitor/hannover-milano-fairs-shanghai/N1606408;
Exhibitor;Liaoning Longyu Exhibition Co., Ltd.;China;110013;Shenyang;;;http://www.lnmea.com;"Hall 17, Stand D70";https://www.hannovermesse.de/exhibitor/liaoning-longyu-exhibition/N1605498;
Exhibitor;Chiping Shinegoal Metal Precision Products Co., Ltd.;China;252100;Liaocheng;;;http://www.xzgcasting.com;"Hall 17, Stand B66";https://www.hannovermesse.de/exhibitor/chiping-shinegoal-metal-precision/N1606556;
Exhibitor;Chuan Wei Metal Co., Ltd.;Taiwan;50565;Changhua County;;;https://www.cw-metal.com.tw;"Hall 17, Stand B02, (6)";https://www.hannovermesse.de/exhibitor/chuan-wei-metal/N1607379;
Exhibitor;CIDEON Software & Services GmbH & Co. KG;Germany;82166;Gräfelfing;Bavaria;;http://www.cideon.de;"Hall 17, Stand E40";https://www.hannovermesse.de/exhibitor/cideon-software-services/N1480513;
Exhibitor;CIDEON Software & Services GmbH & Co. KG;Germany;82166;Gräfelfing;Bavaria;;https://www.cideon.de;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/cideon-software-services/N1611959;
Exhibitor;CIDEON Software & Services GmbH & Co. KG;Germany;82166;Gräfelfing;Bavaria;;http://www.cideon.de;"Hall 27, Stand D50";https://www.hannovermesse.de/exhibitor/cideon-software-services/N1487117;
Exhibitor;Universität Saarland iMSL - Intelligent Material Systems;Germany;66121;Saarbrücken;Saarland;;https://imsl.de;"Hall 11, Stand D41";https://www.hannovermesse.de/exhibitor/cims/N1484761;
Exhibitor;CIM - Innovation und Technologie gGmbH;Germany;23966;Wismar;Mecklenburg-Western Pomerania;;http://www.cim-wismar.de;"Hall 26, Stand B69";https://www.hannovermesse.de/exhibitor/cim-innovation-und-technologie/N1482552;
Exhibitor;CIM-Technologietransfer und Service GmbH;Germany;23966;Wismar;Mecklenburg-Western Pomerania;;;"Hall 26, Stand B69";https://www.hannovermesse.de/exhibitor/cim-technologietransfer/N1482553;
Exhibitor;CIM-Technologie-Zentrum Wismar e.V.;Germany;23966;Wismar;Mecklenburg-Western Pomerania;;http://www.cim-wismar.de;"Hall 26, Stand B69";https://www.hannovermesse.de/exhibitor/cim-technologie-zentrum-wismar/N1518699;
Exhibitor;Companhia de Desenvolvimento do Complexo Industrial e Portuário do Pecém S/A CIPP;Brazil;62674-906;São Gonçalo do Amarante CE;;;https://www.complexodopecem.com.br;"Hall 12, Stand C22";https://www.hannovermesse.de/exhibitor/cipp/N1608642;
Exhibitor;Circle8 Consulting GmbH;Germany;50668;Köln;North Rhine-Westphalia;;http://www.circle8deutschland.de;"Hall 15, Stand G41";https://www.hannovermesse.de/exhibitor/circle8-deutschland/N1612278;
Exhibitor;Circuibras Ind Com de Circuitos Imp Profissionais Ltda;Brazil;83707-065;Araucaria PR;;;https://www.circuibras.com.br;"Hall 17, Stand D52";https://www.hannovermesse.de/exhibitor/circuibras-ind-com-de-circuitos/N1609187;
Exhibitor;CiS Forschungsinstitut für Mikrosensorik GmbH;Germany;99099;Erfurt;Thuringia;;http://www.cismst.de;"Hall 13, Stand E24";https://www.hannovermesse.de/exhibitor/cis-forschungsinstitut/N1458949;
Exhibitor;Citymesh Integrator NV;Belgium;8020;Oostkamp;;;http://www.citymesh.com;"Hall 14, Stand J54";https://www.hannovermesse.de/exhibitor/citymesh-integrator/N1614619;
Exhibitor;Cixi Jianming DADA Vehicle Electric Appliance Co., Ltd;China;315301;Cixi;;;https://www.jmdada.com;"Hall 23, Stand A87";https://www.hannovermesse.de/exhibitor/cixi-jianming-dada-vehicle-electric/N1570957;
Exhibitor;Cixi Jinshengda Bearing Co., Ltd.;China;315300;Cixi;;;http://www.cx-jsd.cn;"Hall 13, Stand F12";https://www.hannovermesse.de/exhibitor/cixi-jinshengda-bearing/N1607152;
Exhibitor;Cixi Kefa Electronics Co., Ltd.;China;315321;Ningbo;;;http://www.cnkefa.com;"Hall 27, Stand G06/1";https://www.hannovermesse.de/exhibitor/cixi-kefa-electronics/N1607627;
Exhibitor;Cixi Wanjie Electronic Co., Ltd;China;315321;Ningbo;;;http://www.china-wj.com;"Hall 27, Stand F88";https://www.hannovermesse.de/exhibitor/cixi-wanjie-electronic/N1538746;
Exhibitor;CKS Kablo Tasiyici Sistemleri San. ve Tic. A.S.;Türkiye;35875;Torbali;;;http://www.cks.com.tr;"Hall 13, Stand E96";https://www.hannovermesse.de/exhibitor/cks-kablo-tasiyici-sistemleri/B421686;
Exhibitor;Claranet GmbH;Germany;60314;Frankfurt;Hesse;;https://www.claranet.com/de/;"Hall 26, Stand F06, (3)";https://www.hannovermesse.de/exhibitor/claranet/N1610782;
Exhibitor;Clarios Germany GmbH & Co. KG;Germany;30419;Hannover;Lower Saxony;;https://www.clarios.com;Convention Center (CC);https://www.hannovermesse.de/exhibitor/clarios-germany/N1608214;
Exhibitor;Claroty GmbH;Germany;60596;Frankfurt Am Main;Hesse;;http://www.claroty.com;"Hall 15, Stand D76";https://www.hannovermesse.de/exhibitor/claroty/N1575766;
Exhibitor;Classiq Technologies Ltd.;Israel;6473104;Tel Aviv;;;http://www.classiq.io;"Hall 11, Stand B25, (B25/2)";https://www.hannovermesse.de/exhibitor/classiq-technologies/N1612924;
Exhibitor;CLB Entwicklungsgesellschaft mbH;Germany;10963;Berlin;Saxony;;;"Hall 11, Stand E52";https://www.hannovermesse.de/exhibitor/clb-entwicklungsgesellschaft/N1611875;
Exhibitor;Cleverwatt GmbH;Germany;80538;München;Bavaria;;http://www.cleverwatt.energy;"Hall 11, Stand B41";https://www.hannovermesse.de/exhibitor/cleverwatt/N1605357;
Exhibitor;CLM S.r.l.;Italy;39100;Bozen;;;http://www.clmbz.it;"Hall 17, Stand B13";https://www.hannovermesse.de/exhibitor/clm/N1613048;
Exhibitor;CMC Engineers GmbH;Germany;72584;Hülben;Baden-Wurttemberg;;https://www.cmc-engineers.de;"Hall 17, Stand G44";https://www.hannovermesse.de/exhibitor/cmc-engineers/N1611363;
Exhibitor;CME - Construção e Manutenção Eletromecânica S A;Portugal;2740-270;Porto Salvo;;;https://cme.pt;"Hall 26, Stand F90";https://www.hannovermesse.de/exhibitor/cme-construcao-e-manutencao/N1613000;
Exhibitor;CMIED Industry (Dalian) Co., Ltd.;China;116001;Dalian;;;https://www.cmied.com;"Hall 17, Stand F81";https://www.hannovermesse.de/exhibitor/cmied-industries-dalian-/N1509315;
Exhibitor;CNC Latvia SIA;Latvia;1046;Riga;;;http://www.cnclatvia.lv;"Hall 17, Stand E44";https://www.hannovermesse.de/exhibitor/cnc-latvia/N1605787;
Exhibitor;CNlM Transport Equipment (Foshan) Co., Ltd.;China;528527;Foshan;;;https://www.cnim-asia.com;"Hall 17, Stand B66";https://www.hannovermesse.de/exhibitor/cnlm-transport-equipment-foshan-/N1606557;
Exhibitor;coac GmbH;Germany;50670;Köln;North Rhine-Westphalia;;http://www.coac.de;"Hall 16, Stand D04";https://www.hannovermesse.de/exhibitor/coac/N1610783;
Exhibitor;Cobro Robot Teknolojiler Otomasyon Mühendislik Makine ?malat? San. ve Tic. Ltd. Sti.;Türkiye;34906;Pendik;;;https://www.cobro.com.tr/en;"Hall 14, Stand L27, (14)";https://www.hannovermesse.de/exhibitor/cobro-robot-teknolojiler/N1608165;
Exhibitor;COCUS AG;Germany;40549;Düsseldorf;North Rhine-Westphalia;;https://www.cocus.com;"Hall 26, Stand G06, (07)";https://www.hannovermesse.de/exhibitor/cocus/N1610784;
Exhibitor;Codevision Inc.;Korea, Republic of;47340;Busanjin-gu;;;http://pineit.co.kr/;"Hall 16, Stand B17";https://www.hannovermesse.de/exhibitor/codevision/N1614515;
Exhibitor;Cofinity-x GmbH;Germany;50668;Köln;North Rhine-Westphalia;;https://www.cofinity-x.com;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/cofinity-x/N1612379;
Exhibitor;Cognite LLC;United States of America;;Austin 78758;;;http://www.cognite.com;"Hall 15, Stand D76";https://www.hannovermesse.de/exhibitor/cognite/N1548298;
Exhibitor;Cohera Automations Pvt. Ltd;India;;Bangalore 562129;;;http://cohera.in;"Hall 17, Stand F60";https://www.hannovermesse.de/exhibitor/cohera-automations/N1612545;
Exhibitor;Cohere, Inc.;Canada;;Toronto, ON M5T 1X3;;;https://cohere.com;"Hall 27, Stand A12";https://www.hannovermesse.de/exhibitor/cohere/N1612380;
Exhibitor;Colorfix Itamaster Indústria de Masterbatches Ltda.;Brazil;83412-050;Colombo PR;;;https://www.colorfix.com.br;"Hall 17, Stand D52";https://www.hannovermesse.de/exhibitor/colorfix-itamaster-industria/N1609080;
Exhibitor;COMAC CAL s.r.o.;Czech Republic;739 53;Tranovice;;;https://www.comaccal.com;"Hall 27, Stand G10";https://www.hannovermesse.de/exhibitor/comac-cal/N1565994;
Exhibitor;Comarch AG;Germany;80992;München;Bavaria;;https://www.comarch.de;"Hall 15, Stand A18, (10)";https://www.hannovermesse.de/exhibitor/comarch/N1608502;
Exhibitor;Comau S.p.A.;Italy;10095;Grugliasco;;;https://www.comau.com;"Hall 26, Stand D70";https://www.hannovermesse.de/exhibitor/comau/N1614125;
Exhibitor;Comeco AD;Bulgaria;4000;Plovdiv;;;http://www.comeco.io;"Hall 17, Stand B12";https://www.hannovermesse.de/exhibitor/comeco-inc-/N1613571;
Exhibitor;Comerg Group EOOD;Bulgaria;6100;Kazanlak;;;https://www.metalwork.comerg.com;"Hall 17, Stand B12";https://www.hannovermesse.de/exhibitor/comerg-group/N1613572;
Exhibitor;COMET SYSTEM, s.r.o.;Czech Republic;756 61;Ro?nov Pod Radho?t?m;;;;"Hall 27, Stand G07";https://www.hannovermesse.de/exhibitor/comet-system/N1605369;
Exhibitor;CompActive GmbH;Germany;67433;Neustadt;Rhineland Palatinate;;http://www.compactive.de;"Hall 16, Stand F15, (11)";https://www.hannovermesse.de/exhibitor/compactive/N1459194;
Exhibitor;ComplyMarket GmbH;Germany;80807;München;Bavaria;;http://www.complymarket.com;"Hall 11, Stand B41";https://www.hannovermesse.de/exhibitor/complymarket/N1570959;
Exhibitor;CompositeEdge GmbH;Germany;38106;Braunschweig;Lower Saxony;;https://compositeedge.de/;"Hall 15, Stand A14";https://www.hannovermesse.de/exhibitor/compositeedge/N1550313;
Exhibitor;Composites United e.V.;Germany;10117;Berlin;Berlin;;http://www.composites-united.com;"Hall 17, Stand G41, (G41/1)";https://www.hannovermesse.de/exhibitor/composites-united/N1574125;
Exhibitor;CompoSpring GmbH;Germany;67596;Dittelsheim-Heßloch;Rhineland Palatinate;;https://www.compospring.com;"Hall 11, Stand C30";https://www.hannovermesse.de/exhibitor/compospring/N1612349;
Exhibitor;CompuSafe Data Systems AG;Germany;81373;München;Bavaria;;https://www.compusafe.de;"Hall 27, Stand B24, (9)";https://www.hannovermesse.de/exhibitor/compusafe-data-systems/N1612863;
Exhibitor;CompuSafe Data Systems AG;Germany;81373;München;Bavaria;;https://www.compusafe.de;"Hall 26, Stand E98, (4)";https://www.hannovermesse.de/exhibitor/compusafe-data-systems/N1605370;
Exhibitor;Computermate Co., Ltd.;Korea, Republic of;42250;Daegu-si;;;https://www.computermate.co.kr;"Hall 16, Stand B17";https://www.hannovermesse.de/exhibitor/computermate/N1575957;
Exhibitor;Comsysto Reply GmbH;Germany;80636;München;Bavaria;;http://www.comsystoreply.de;"Hall 15, Stand H57";https://www.hannovermesse.de/exhibitor/comsysto-reply/N1613001;
Exhibitor;Conductix-Wampfler GmbH;Germany;79576;Weil am Rhein;Baden-Wurttemberg;;http://www.conductix.de;"Hall 26, Stand G44, (41)";https://www.hannovermesse.de/exhibitor/conductix-wampfler/N1543294;
Exhibitor;Consensive GmbH;Germany;99423;Weimar;Thuringia;;http://www.consensive.com;"Hall 13, Stand E24";https://www.hannovermesse.de/exhibitor/consensive/N1607703;
Exhibitor;CONSOLIDATE Software GmbH & Co. KG;Austria;6890;Lustenau;;;https://www.consolidate.eu;"Hall 14, Stand L53";https://www.hannovermesse.de/exhibitor/consolidate-software/N1606982;
Exhibitor;Consolinno Energy GmbH;Germany;93053;Regensburg;Bavaria;;https://consolinno.de;"Hall 11, Stand B41";https://www.hannovermesse.de/exhibitor/consolinno-energy/N1605371;
Exhibitor;buildingSMART Deutschland e. V.;Germany;01059;Dresden;Saxony;;http://www.buildingsmart.de;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/construct-x/N1612378;
Exhibitor;CONTACT Software GmbH;Germany;28359;Bremen;Bremen;;https://www.contact-software.com;"Hall 17, Stand H24";https://www.hannovermesse.de/exhibitor/contact-software/N1482432;
Exhibitor;Contelos GmbH;Germany;30989;Gehrden;Lower Saxony;;http://www.contelos.de;"Hall 17, Stand E40";https://www.hannovermesse.de/exhibitor/contelos/N1459533;
Exhibitor;Conti Snc di Conti Giuseppe & C.;Italy;23890;Barzago;;;http://www.contigroup.it;"Hall 13, Stand C95";https://www.hannovermesse.de/exhibitor/conti/N1432522;
Exhibitor;Contrel elettronica S.r.l.;Italy;26900;Lodi;;;http://www.contrel.it;"Hall 12, Stand C55";https://www.hannovermesse.de/exhibitor/contrel-elettronica/N1476206;
Exhibitor;Cookoo-Autowheel Technology (Tianjin) Co., Ltd.;China;300308;Tianjin;;;http://www.cookoo.com.cn;"Hall 14, Stand L57";https://www.hannovermesse.de/exhibitor/cookoo-autowheel-technology/N1611195;
Exhibitor;Pixnow Sociedade Prestadora de Servicos de Ativos Virtuais Ltda;Brazil;01451-919;Sao Paulo SP;;;https://pixnow.co;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/coopera/N1608999;
Exhibitor;Coreflux Portugal SA.;Portugal;4149-008;Porto;;;https://www.coreflux.org;"Hall 14, Stand L66";https://www.hannovermesse.de/exhibitor/coreflux-portugal/N1612864;
Exhibitor;COREVAS GmbH & Co. KG;Germany;41516;Grevenbroich;North Rhine-Westphalia;;http://www.emergencyeye.de;"Hall 15, Stand D44, (D44/4)";https://www.hannovermesse.de/exhibitor/corevas/N1607780;
Exhibitor;Coriolis Group SAS;France;56530;Quéven;;;https://www.coriolis-composites.com;"Hall 17, Stand B22/1";https://www.hannovermesse.de/exhibitor/coriolis-group/N1613222;
Exhibitor;Coskun Otomat San. ve Tic. A.S.;Türkiye;34173;Güngören;;;http://www.coskunotomat.com.tr;"Hall 17, Stand B44, (9)";https://www.hannovermesse.de/exhibitor/coskun-otomat/N1608215;
Exhibitor;COSMO CONSULT SE;Germany;10963;Berlin;Berlin;;http://www.cosmoconsult.com;Digital Only;https://www.hannovermesse.de/exhibitor/cosmo-consult/N1572946;
Exhibitor;CosmoShop GmbH;Germany;82223;Eichenau;Bavaria;München/IHK für München/Obayer;https://www.cosmoshop.de;"Hall 15, Stand G39";https://www.hannovermesse.de/exhibitor/cosmoshop/N1611828;
Exhibitor;COTIT B.V.;Netherlands;1316 BZ;Almere;;;https://www.cotit.io;"Hall 13, Stand A34";https://www.hannovermesse.de/exhibitor/cotit/N1610252;
Exhibitor;CP System Co., Ltd.;Korea, Republic of;46018;Gijang-gun;;;http://www.cpsystem.co.kr;"Hall 13, Stand F33";https://www.hannovermesse.de/exhibitor/cp-system/N1605372;
Exhibitor;CreaTec Fischer & Co. GmbH;Germany;74391;Erligheim;Baden-Wurttemberg;;http://www.createc.de;"Hall 11, Stand B25, (B25/1)";https://www.hannovermesse.de/exhibitor/createc-fischer/N1614126;
Exhibitor;credativ GmbH;Germany;41179;Mönchengladbach;North Rhine-Westphalia;;https://www.credativ.de;"Hall 14, Stand L46";https://www.hannovermesse.de/exhibitor/credativ/N1610201;
Exhibitor;Cremonini S.r.l.;Italy;23867;Suello;;;http://www.cremoninigroup.it;"Hall 17, Stand A20";https://www.hannovermesse.de/exhibitor/cremonini/N1614010;
Exhibitor;Crescendo Worldwide GmbH;Germany;30163;Hannover;Lower Saxony;;http://www.crescendoworldwide.org;"Hall 16, Stand F09";https://www.hannovermesse.de/exhibitor/crescendo-worldwide/N1459807;
Exhibitor;CRG Czech-kart s.r.o.;Czech Republic;779 00;Olomouc;;;https://crgczech.com;"Hall 17, Stand D47/1";https://www.hannovermesse.de/exhibitor/crg-czech-kart/N1608216;
Exhibitor;Critical Manufacturing, S.A.;Portugal;4470 605;Moreira da Maia;;;https://www.criticalmanufacturing.com;"Hall 15, Stand C14";https://www.hannovermesse.de/exhibitor/critical-manufacturing/N1481882;
Exhibitor;CrowdChem, Inc.;Japan;;Shinagawa-Ku 140-0013;;;https://ai.crowdchem.net/;"Hall 16, Stand D01/1";https://www.hannovermesse.de/exhibitor/crowdchem/N1612141;
Exhibitor;CSA Group Bayern GmbH;Germany;94447;Plattling;Bavaria;;https://www.csagroup.org;Digital Only;https://www.hannovermesse.de/exhibitor/csa-group-bayern/N1612178;
Exhibitor;Robert Bosch GmbH;Germany;70839;Gerlingen;Baden-Wurttemberg;;http://www.bosch.com;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/cube-c/N1612233;
Exhibitor;Cumulocity GmbH;Germany;40477;Düsseldorf;North Rhine-Westphalia;;https://www.cumulocity.com;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/cumulocity/N1613768;
Exhibitor;CURA Climate Inc.;Canada;;Edmonton, AB T5K 1N9;;;http://www.curaclimate.com;"Hall 27, Stand A12";https://www.hannovermesse.de/exhibitor/cura-climate/N1609081;
Exhibitor;CWS Digital Plataforma E Servicos S.A.;Brazil;88306-773;Itajaí;;;https://www.cws-platform.com/;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/cws-digital-plataforma-e/N1582020;
Exhibitor;CyberForge UG (Haftungsbeschränkt);Germany;49809;Lingen;Lower Saxony;;http://www.cyberforge.solutions;"Hall 15, Stand A14";https://www.hannovermesse.de/exhibitor/cyberforge/N1612191;
Exhibitor;Cybersense GmbH;Germany;44227;Dortmund;North Rhine-Westphalia;;http://www.cybersense.de;"Hall 26, Stand F30";https://www.hannovermesse.de/exhibitor/cybersense/N1613165;
Exhibitor;Cybus GmbH;Germany;20255;Hamburg;Hamburg;;http://www.cybus.io;"Hall 15, Stand G52";https://www.hannovermesse.de/exhibitor/cybus/N1480388;
Exhibitor;cylib GmbH;Germany;52068;Aachen;North Rhine-Westphalia;;https://www.cylib.de;"Hall 12, Stand E46";https://www.hannovermesse.de/exhibitor/cylib/N1612546;
Exhibitor;Cylon Electrical Industry Group;China;239004;Chuzhou;;;https://www.cylonbusway.com/;"Hall 12, Stand F22/1";https://www.hannovermesse.de/exhibitor/cylon-electrical-industry/N1605374;
Exhibitor;CYTOK GmbH;Germany;18057;Rostock;Mecklenburg-Western Pomerania;;https://cytok.de;"Hall 26, Stand B69";https://www.hannovermesse.de/exhibitor/cytok/N1570407;
Exhibitor;CzechTrade Ceska agentura na podporu obchodu;Czech Republic;120 00;Praha;;;http://www.czechtrade.cz;"Hall 26, Stand G84";https://www.hannovermesse.de/exhibitor/czechtrade/N1575199;
Exhibitor;CZ Electric Co., Ltd.;China;314002;Jiaxing;;;http://www.cz-ex.com;"Hall 27, Stand B12/1";https://www.hannovermesse.de/exhibitor/cz-electric/N1608823;
Exhibitor;C2CAT B.V.;Netherlands;2461 LW;Ter Aar;;;http://www.c2cat.eu;"Hall 11, Stand C22";https://www.hannovermesse.de/exhibitor/c2cat/N1520496;
Exhibitor;C&L Industries Co., Ltd;China;523079;Dongguan;;;http://www.clcncmachining.com;"Hall 17, Stand B66";https://www.hannovermesse.de/exhibitor/c-l-industries/N1508726;
Exhibitor;C-Infinity, Inc;United States of America;;Mountain View, CA 94043;;;http://autoassembler.com;"Hall 16, Stand B02";https://www.hannovermesse.de/exhibitor/c-infinity/N1608719;
Exhibitor;Daehwa E/M Co.,Ltd.;Korea, Republic of;15655;Ansan-si;;;http://www.daehwagm.co.kr;"Hall 27, Stand H71";https://www.hannovermesse.de/exhibitor/daehwa-electric-machinery/N1481782;
Exhibitor;Daejin Hydraulic Machinery Co., Ltd;Korea, Republic of;46938;Sasang-gu;;;http://www.tecpos.com;"Hall 27, Stand H71";https://www.hannovermesse.de/exhibitor/daejin-hydraulic-machinery/N1509658;
Exhibitor;DaiShin Information & Communications Co. Ltd.;Korea, Republic of;08501;Gwangju;;;http://www.mobilebase.co.kr;"Hall 15, Stand G45/1";https://www.hannovermesse.de/exhibitor/daishin-information/N1605377;
Exhibitor;Dalian CTC Insulator Co., Ltd.;China;116045;Dalian;;;http://www.ctcinsulator.com;"Hall 12, Stand C43";https://www.hannovermesse.de/exhibitor/dalian-ctc-insulator/N1536865;
Exhibitor;Dalian Keyuan International Trade Co., Ltd.;China;116001;Dalian;;;https://www.keyuan-metalparts.com;"Hall 17, Stand E85";https://www.hannovermesse.de/exhibitor/dalian-keyuan-international/N1611829;
Exhibitor;Dalian Rizhibao Machinery Manufacture Co.,Ltd;China;116600;Dalian;;;http://www.dlrzb.com;"Hall 12, Stand G54";https://www.hannovermesse.de/exhibitor/dalian-rizhibao-machinery-manufacture/N1608434;
Exhibitor;Danish Power Limited;India;;Jaipur 302037;;;http://www.danish.co.in;"Hall 12, Stand C69";https://www.hannovermesse.de/exhibitor/danish-power/N1615066;
Exhibitor;Dansk Sintermetal A/S;Denmark;6100;Haderslev;;;http://www.sintermetal.com;"Hall 17, Stand A25";https://www.hannovermesse.de/exhibitor/dansk-sintermetal/N1605379;
Exhibitor;Dassault Systemes Deutschland GmbH;Germany;70563;Stuttgart;Baden-Wurttemberg;;http://www.3ds.com/de;"Hall 14, Stand H74";https://www.hannovermesse.de/exhibitor/dassault-systemes-deutschland/N1476211;
Exhibitor;DATAbility GmbH;Germany;64295;Darmstadt;Hesse;;http://www.datability.ai;"Hall 16, Stand F15, (16)";https://www.hannovermesse.de/exhibitor/datability/N1610597;
Exhibitor;Databricks Inc.;United States of America;;San Francisco 94105;;;http://www.databricks.com;"Hall 17, Stand G06";https://www.hannovermesse.de/exhibitor/databricks/N1576836;
Exhibitor;Databricks Inc.;United States of America;;San Francisco 94105;;;http://www.databricks.com;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/databricks/N1614752;
Exhibitor;Dataciders GmbH;Germany;44139;Dortmund;North Rhine-Westphalia;;https://www.dataciders.de;"Hall 27, Stand B24, (4)";https://www.hannovermesse.de/exhibitor/dataciders/N1576644;
Exhibitor;Dataciders GmbH;Germany;44139;Dortmund;North Rhine-Westphalia;;http://www.dataciders.de;"Hall 17, Stand H24";https://www.hannovermesse.de/exhibitor/dataciders/N1611606;
Exhibitor;Dataguess Teknoloji San. ve Tic. A.S.;Türkiye;34852;Maltepe;;;http://www.dataguess.com;"Hall 14, Stand L45";https://www.hannovermesse.de/exhibitor/dataguess-teknoloji/N1610786;
Exhibitor;dataPartner s.r.o.;Czech Republic;370 01;Ceske Budejovice;;;https://www.datapartner.cz;"Hall 15, Stand E06";https://www.hannovermesse.de/exhibitor/datapartner/N1606526;
Exhibitor;Datawake Digital Ltda;Brazil;09961-088;Diadema SP;;;http://www.datawake.com.br;"Hall 27, Stand B24, (17)";https://www.hannovermesse.de/exhibitor/datawake-digital/N1608435;
Exhibitor;Datawake Digital Ltda;Brazil;09961-088;Diadema SP;;;https://www.datawake.com.br;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/datawake-digital/N1608956;
Exhibitor;Datwyler (Suzhou) IT Infra Co., Ltd.;China;215413;Suzhou;;;http://www.datwyler-itinfra.com;"Hall 12, Stand G54";https://www.hannovermesse.de/exhibitor/datwyler-suzhou-it-infra/N1609940;
Exhibitor;DBR77 GmbH;Germany;10707;Berlin;Berlin;;https://dbr77.com/de;"Hall 26, Stand G44, (31)";https://www.hannovermesse.de/exhibitor/dbr77/N1551258;
Exhibitor;Daniel Basic db Vibro Schwingungstechnik;Germany;64665;Alsbach-Hähnlein;Hesse;;https://www.dbvibro.de;"Hall 27, Stand J73, (04)";https://www.hannovermesse.de/exhibitor/db-vibro-schwingungsmesstechnik/N1605378;
Exhibitor;D D Coomoon Technology Development Corp.;United States of America;;Cambridge, MA 02142;;;;"Hall 26, Stand C30";https://www.hannovermesse.de/exhibitor/d-d-coomoon-technology-development/N1605376;
Exhibitor;Universität Paderborn Heinz Nixdorf Institut;Germany;33102;Paderborn;North Rhine-Westphalia;;http://www.hni.uni-paderborn.de;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/decide4eco/N1612555;
Exhibitor;Deep Tech Canada;Canada;;Edmonton T6N 1E4;;;http://www.deeptechcanada.ca;"Hall 26, Stand E78";https://www.hannovermesse.de/exhibitor/deep-tech-canada/N1574622;
Exhibitor;psps business abroad b.v.;Netherlands;2514 AE;Den Haag;;;https://psps-ba.nl/en/;"Hall 13, Stand A34";https://www.hannovermesse.de/exhibitor/defence-tech-nl/N1614629;
Exhibitor;Defendara OOD;Bulgaria;1000;Sofia;;;https://www.defendara.com;"Hall 17, Stand B12";https://www.hannovermesse.de/exhibitor/defendara-ltd/N1613573;
Special Display;Deutsche Messe AG;Germany;30521;Hannover;Lower Saxony;;https://www.messe.de;"Hall 26, Stand E98";https://www.hannovermesse.de/exhibitor/defense-production-area/N1605391;
Exhibitor;DEGSON Germany GmbH;Germany;60314;Frankfurt;Hesse;;http://www.degson.com;"Hall 27, Stand D11";https://www.hannovermesse.de/exhibitor/degson-germany/N1480123;
Exhibitor;de Jonge GmbH;Germany;90429;Nürnberg;Bavaria;;https://www.dejonge.ai;"Hall 11, Stand B41";https://www.hannovermesse.de/exhibitor/de-jonge/N1605380;
Exhibitor;DEKRA Assurance Services GmbH;Germany;70565;Stuttgart;Baden-Wurttemberg;;https://www.dekra.de/de/startseite/;Digital Only;https://www.hannovermesse.de/exhibitor/dekra-assurance-services/N1611325;
Exhibitor;Dekta Mühendislik Çad?r Branda Insaat San. ve Tic. Ltd. Sti.;Türkiye;34488;Basaksehir;;;http://www.dekta.com.tr;"Hall 17, Stand B44";https://www.hannovermesse.de/exhibitor/dekta-muhendislik-cad-r-branda/N1615198;
Exhibitor;delaware Germany GmbH;Germany;66482;Zweibrücken;Rhineland Palatinate;;http://www.delaware.pro/de-de;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/delaware-germany/N1612421;
Exhibitor;Delfa Systems GmbH;Germany;66538;Neunkirchen;Saarland;;https://www.delfasys.de;"Hall 11, Stand F34";https://www.hannovermesse.de/exhibitor/delfa-systems/N1613436;
Exhibitor;Delia Automotive EOOD;Bulgaria;5641;Apriltsi;;;;"Hall 17, Stand B12";https://www.hannovermesse.de/exhibitor/delia-automotive/N1580480;
Exhibitor;Delixi New Energy Technology (Hangzhou) Co.,Ltd.;China;310024;Hangzhou;;;http://www.dxtlexp.com;"Hall 26, Stand C10";https://www.hannovermesse.de/exhibitor/delixi-new-energy-technology-hangzhou-/N1608462;
Exhibitor;Dell Technologies Inc.;United States of America;;Round Rock 78682;;;http://www.dell.com;"Hall 26, Stand E98, (18)";https://www.hannovermesse.de/exhibitor/dell-technologies/N1611830;
